#              ************************************,,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,,
#              ************************************,,,,,
#,,,,,
#     PROJECT                         NSSDC,,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data,,,,,
#     DATA_TYPE                       H0>Definitive Hourly,,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,,
#     DATA_VERSION                    1,,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,,
#     TEXT                            Hourly averaged definitive multispacecraft interplanetary parameters data,,,,,
#                                     OMNI Data Documentation: https://omniweb.gsfc.nasa.gov/html/ow_data.html,,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow.h,,,,,
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data http://cohoweb.gsfc.nasa.gov/           ,,,,,
#                                     Recent OMNI 1-HR Updates News: https://omniweb.gsfc.nasa.gov/html/ow_news.html,,,,,
#     MODS                            created August 2003;,,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,,
#                                     original convention of start-of-average time tags.,,,,,
#     LOGICAL_FILE_ID                 omni2_h0_mrg1hr_00000000_v01,,,,,
#     PI_NAME                         J.H. King, N. Papitashvili,,,,
#     PI_AFFILIATION                  ADNET, NASA GSFC,,,,
#     GENERATION_DATE                 Ongoing,,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,,
#     ADID_REF                        NSSD0110,,,,,
#     RULES_OF_USE                    Public,,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,,
#                                     Magnetic Fields (space),,,,,
#                                     Particles (space),,,,,
#                                     Electric Fields (space),,,,,
#                                     Activity Indices,,,,,
#     GENERATED_BY                    King/Papitashvili,,,,,
#     TIME_RESOLUTION                 1 hour,,,,,
#     LOGICAL_SOURCE                  omni2_h0_mrg1hr,,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, Hourly IMF and Plasma Data, and Energetic Proton                            ,,
#     LOGICAL_SOURCE_DESCRIPTION       Fluxes, Time-Shifted to the Nose of the Earth's Bow Shock, plus Solar and Magnetic                    ,,,
#                                      Indices                                                                                               ,,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,,
#                                     SPDF's OMNIWeb Service,,,,,
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data,,,,,
#                                     Release Notes,,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/ow_data.html,,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow.html,,,,,
#                                     http://cohoweb.gsfc.nasa.gov/,,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/ow_news.html,,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf,,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,,
#                                     ACE,,,,,
#                                     Wind,,,,,
#                                     IMP (All),,,,,
#                                     !___Interplanetary Data near 1 AU,,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/PT1H,,,,,
#     CDAWEB_PARENTS                  omni2_h0_mrg1hr_00000000_v01,,,,,
#                                     omni2_h0_mrg1hr_20030701_v01,,,,,
#     CDFMAJOR                        COL_MAJOR,,,,,
#,,,,,
#              ************************************,,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,,
#              ************************************,,,,,
#,,,,,
#  1. Time_at_center_of_hour,,,,,
#  2. Kp - 3-hour Kp*10 (Kp=1-,1,1+ corresponds to 7,10,13), fromNGDC (1963/001-2023/117)
#  3. Dst - 1-hour Dst index (1963/001-2014/366), Provisional Dst (2017/001-2021/365), Quick-look Dst (2022/001-2023/117), from WDC Kyoto,,
#,,,,,
TIME_AT_CENTER_OF_HOUR_yyyy-mm-ddThh:mm:ss.sssZ,H_KP,H_DST,Time,,
2003-11-20T00:30:00.000Z,10,-4,0:30,,
2003-11-20T01:30:00.000Z,10,-6,1:30,,
2003-11-20T02:30:00.000Z,10,-5,2:30,,
2003-11-20T03:30:00.000Z,37,-7,3:30,,
2003-11-20T04:30:00.000Z,37,-15,4:30,,
2003-11-20T05:30:00.000Z,37,-26,5:30,,
2003-11-20T06:30:00.000Z,63,-32,6:30,,
2003-11-20T07:30:00.000Z,63,-34,7:30,,
2003-11-20T08:30:00.000Z,63,-17,8:30,,
2003-11-20T09:30:00.000Z,63,-38,9:30,,
2003-11-20T10:30:00.000Z,63,-68,10:30,,
2003-11-20T11:30:00.000Z,63,-58,11:30,,
2003-11-20T12:30:00.000Z,77,-49,12:30,,
2003-11-20T13:30:00.000Z,77,-102,13:30,,
2003-11-20T14:30:00.000Z,77,-162,14:30,,
2003-11-20T15:30:00.000Z,87,-171,15:30,,
2003-11-20T16:30:00.000Z,87,-229,16:30,,
2003-11-20T17:30:00.000Z,87,-329,17:30,,
2003-11-20T18:30:00.000Z,87,-396,18:30,,
2003-11-20T19:30:00.000Z,87,-413,19:30,,
2003-11-20T20:30:00.000Z,87,-422,20:30,,
2003-11-20T21:30:00.000Z,80,-422,21:30,,
2003-11-20T22:30:00.000Z,80,-405,22:30,,
2003-11-20T23:30:00.000Z,80,-343,23:30,,
2003-11-21T00:30:00.000Z,67,-309,0:30,,
2003-11-21T01:30:00.000Z,67,-256,1:30,,
2003-11-21T02:30:00.000Z,67,-230,2:30,,
2003-11-21T03:30:00.000Z,60,-194,3:30,,
2003-11-21T04:30:00.000Z,60,-191,4:30,,
2003-11-21T05:30:00.000Z,60,-185,5:30,,
2003-11-21T06:30:00.000Z,60,-156,6:30,,
2003-11-21T07:30:00.000Z,60,-162,7:30,,
2003-11-21T08:30:00.000Z,60,-162,8:30,,
2003-11-21T09:30:00.000Z,37,-141,9:30,,
#  ,,,,,
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.,,,
# Generated by CDAWeb on: Mon May  1 15:23:24 2023,,,,,
